[13:44:46] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[13:44:46] [main/WARN]: Missing data pack mod:forge
[13:44:46] [main/WARN]: Missing data pack mod:tlskincape
[13:44:47] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[13:44:47] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:44:47] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:44:47] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[13:44:47] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:44:47] [main/INFO]: Reloading ResourceManager: Default
[13:44:47] [Worker-Main-9/INFO]: Loaded 7 recipes
[13:44:47] [Worker-Main-9/INFO]: Loaded 927 advancements
[13:44:48] [Server thread/INFO]: Starting minecraft server version 1.16.4
[13:44:48] [Server thread/INFO]: Loading properties
[13:44:48] [Server thread/INFO]: Default game type: SURVIVAL
[13:44:48] [Server thread/INFO]: Generating keypair
[13:44:49] [Server thread/INFO]: Starting Minecraft server on *:25565
[13:44:49] [Server thread/INFO]: Using default channel type
[13:44:49] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[13:44:49] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[13:44:49] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[13:44:49] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[13:44:49] [Server thread/INFO]: Preparing level "world"
[13:44:49] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[13:44:50] [Server thread/INFO]: Preparing spawn area: 0%
[13:44:50] [Server thread/INFO]: Preparing spawn area: 0%
[13:44:50] [Server thread/INFO]: Preparing spawn area: 0%
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:swim_speed'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:swim_speed'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
[13:44:51] [Server thread/WARN]: Ignoring unknown attribute 'forge:entity_gravity'
